status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.print_section,response.docs.print_page,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Make sure you have community support. Plan for decades of growth.,https://www.nytimes.com/2021/07/27/magazine/plant-street-tree.html,Make sure you have community support. Plan for decades of growth.,"“You can’t just go and cut concrete and put a tree in the ground,” says Rose Tileston, who is 32 and works on urban tree-planting projects across the country as part of her job at American Forests, a nonprofit based in Washington, D.C. To plant a tree in a public place, you need permission from the city first. Many will be eager to grant it. Trees make cities more resilient to climate change by sequestering carbon, absorbing storm-water runoff, decreasing temperatures, purifying air and reducing the costs and emissions from air-conditioning.",The New York Times,,,2021-07-27T09:00:05+0000,article,Magazine,Magazine,News,nyt://article/f308092a-70a6-54c5-b944-b41332bdad5f,405,nyt://article/f308092a-70a6-54c5-b944-b41332bdad5f,MM,17,NA,How to Plant a Street Tree,Tip,NA,How to Plant a Street Tree,NA,NA,NA,By Malia Wollan,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Wednesday: A small prescribed burn in Modoc County provided lessons on using good fires to fight bad ones.,https://www.nytimes.com/2021/05/19/us/california-fires-controlled-burn.html,Wednesday: A small prescribed burn in Modoc County provided lessons on using good fires to fight bad ones.,Good morning.,The New York Times,,,2021-05-19T12:51:49+0000,article,National,U.S.,briefing,nyt://article/11cd3442-985a-5f2c-9941-220a83b97759,803,nyt://article/11cd3442-985a-5f2c-9941-220a83b97759,NA,NA,NA,The Meaning and History of a Controlled Burn,California Today,NA,NA,NA,NA,NA,By Thomas Fuller,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,The danger from flames and smoke is growing as blazes spread more swiftly and unpredictably as a consequence of climate change. Here are answers to five important questions.,https://www.nytimes.com/2021/07/16/climate/wildfires-smoke-safety-questions.html,The danger from flames and smoke is growing as blazes spread more swiftly and unpredictably as a consequence of climate change. Here are answers to five important questions.,"By nearly every metric, the wildfires in the Western United States are worsening. They are growing larger, spreading faster and reaching higher, scaling mountain elevations that previously were too wet and cool to have supported fires this fierce.",The New York Times,,,2021-07-16T17:30:44+0000,article,Climate,Climate,News,nyt://article/37d528c4-1c89-5696-8029-4f67f082b1d5,1144,nyt://article/37d528c4-1c89-5696-8029-4f67f082b1d5,A,10,NA,"Wildfires Are Intensifying. Here’s Why, and What Can Be Done.",NA,NA,"Here’s Why Wildfires Are Intensifying, and What Can Be Done",NA,NA,NA,By Winston Choi-Schagrin,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Los Angeles’s oldest stained glass studio, Judson, is collaborating with emerging and established artists to modernize a medieval craft.",https://www.nytimes.com/2021/04/21/arts/design/judson-studios-forest-lawn-los-angeles.html,"Los Angeles’s oldest stained glass studio, Judson, is collaborating with emerging and established artists to modernize a medieval craft.","LOS ANGELES — In 1893, an itinerant plein-air English painter came to the West Coast to die. At 51, William Lees Judson could look back on a life full of adventure: trans-Atlantic crossings, farming Ontario’s plains, fighting under Ulysses S. Grant in the Civil War, Beaux-Arts immersion at Paris’s Académie Julian. When his wife died suddenly and his own health soured, doctors advised him to take the “California cure” and spend his last days in the Golden State’s hot, dry air.",The New York Times,,,2021-04-21T17:34:14+0000,article,Culture,Arts,News,nyt://article/f00370b5-b10a-5eb4-b115-3ab190e25dc8,1116,nyt://article/f00370b5-b10a-5eb4-b115-3ab190e25dc8,C,6,Art & Design,Stained Glass That Breaks All the Rules,NA,NA,Breaking the Rules of Stained Glass,NA,NA,NA,By Adam Popescu,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,A new generation of architects is arguing that postmodern cityscapes deserve re-evaluation.,https://www.nytimes.com/2021/11/30/magazine/dallas-architecture.html,A new generation of architects is arguing that postmodern cityscapes deserve re-evaluation.,"Growing up in Dallas, I saw the city as an architectural wasteland. It had some beautiful art museums, sure, and a gleaming forest of downtown skyscrapers, but its fundamental identity seemed to be suburban sprawl, McMansions and strip malls. The idea of public space felt foreign, something I could access only through movies where people loafed around Central Park and sipped espressos in packed Italian piazzas. My experience of public life was weekend soccer games and deserted granite plazas glimpsed from the back seat of my parents’ car. Sometimes I’d take school field trips downtown, and the bus driver would make a pit stop at Pioneer Plaza, one of the city’s biggest parks, which contained 39 bronze cattle sculptures but not a single bench.",The New York Times,,,2021-11-30T10:00:07+0000,article,Magazine,Magazine,News,nyt://article/599e0533-cd9a-54d5-8fb9-a35c264135cf,870,nyt://article/599e0533-cd9a-54d5-8fb9-a35c264135cf,MM,22,NA,Discovering a Secret Wonderland of Architecture in Dallas,Letter of Recommendation,NA,Postmodern Architecture ,NA,NA,NA,By Rob Madole,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,The city’s five borough presidents are also urging the mayor to honor a pledge to spend 1 percent of the municipal budget on parks.,https://www.nytimes.com/2022/02/12/nyregion/trees-parks-nyc.html,The city’s five borough presidents are also urging the mayor to honor a pledge to spend 1 percent of the municipal budget on parks.,"When Mayor Eric Adams named a commissioner last week to oversee New York’s parks department, he spoke of how important the city’s green spaces were for recreation and contemplation, especially during the pandemic.",The New York Times,,,2022-02-12T10:00:12+0000,article,Metro,New York,News,nyt://article/cdec1760-70a3-5c75-a84b-74c2dc468910,1015,nyt://article/cdec1760-70a3-5c75-a84b-74c2dc468910,A,16,NA,A Million More Trees for New York City: Leaders Want a Greener Canopy,NA,NA,Borough Leaders Urge a Greener New York by Planting a Million More Trees,NA,NA,NA,By Dana Rubinstein,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"After years covering California’s wildfires, a photographer experienced the event from the other side of the lens.",https://www.nytimes.com/2021/08/20/us/caldor-fire.html,"After years covering California’s wildfires, a photographer experienced the event from the other side of the lens.","POLLOCK PINES, Calif. — Last November, my wife and I joined a wave of Americans who left urban centers during the pandemic in favor of more rural areas, relocating from Sacramento to rural Pollock Pines on the western slope of the Sierra Nevada.",The New York Times,,,2021-08-20T07:00:16+0000,article,National,U.S.,News,nyt://article/9891f2bb-0d24-54a2-b7c9-025de2d8e166,677,nyt://article/9891f2bb-0d24-54a2-b7c9-025de2d8e166,A,11,NA,Documenting a Wildfire When It’s in Your Backyard,NA,NA,Documenting a Wildfire in Your Backyard,NA,NA,NA,By Max Whittaker,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Since 2001, the International Dark-Sky Association has designated spots with exceptionally high-quality night skies, in an effort to restore them to their natural state.",https://www.nytimes.com/interactive/2021/11/18/science/dark-sky-places.html,"Since 2001, the International Dark-Sky Association has designated spots with exceptionally high-quality night skies, in an effort to restore them to their natural state.","Since 2001, the International Dark-Sky Association has designated spots with exceptionally high-quality night skies, in an effort to restore them to their natural state.",The New York Times,,,2021-11-18T14:05:36+0000,multimedia,Science,Science,Interactive Feature,nyt://interactive/426fd96f-4f87-57d4-9675-ee3440a76e61,0,nyt://interactive/426fd96f-4f87-57d4-9675-ee3440a76e61,NA,NA,NA,Where to Stargaze in the U.S.,NA,NA,NA,NA,NA,NA,By Johnny Diaz,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Trees protect cities from extreme heat. But in most places, only the rich enjoy them.",https://www.nytimes.com/interactive/2021/06/30/opinion/environmental-inequity-trees-critical-infrastructure.html,"Trees protect cities from extreme heat. But in most places, only the rich enjoy them.","Trees protect cities from extreme heat. But in most places, only the rich enjoy them.",The New York Times,,,2021-06-30T09:00:03+0000,multimedia,Opinion,Opinion,Interactive Feature,nyt://interactive/4cfa5892-262a-5085-bb1a-0e0a656e4257,0,nyt://interactive/4cfa5892-262a-5085-bb1a-0e0a656e4257,NA,NA,NA,Since When Have Trees Existed Only for Rich Americans?,NA,NA,NA,NA,NA,NA,By Ian Leahy and Yaryna Serkez,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,The honeymoon’s over for its residents now that wildfires are almost constant. Has living in this natural wonderland lost its magic?,https://www.nytimes.com/2022/01/03/magazine/california-widfires.html,The honeymoon’s over for its residents now that wildfires are almost constant. Has living in this natural wonderland lost its magic?,"Early in my two-writer marriage, my husband and I joked that we should add a silent third spouse who worked in venture capital or practiced corporate law. But really, we already had a bonus partner: California. The state was dramatic and a handful. But she was gorgeous, and she brought into our lives, through the natural world, all the treasure and magic we’d need. The beaches. The mountains. The clean waves at Malibu. The seal pups at Año Nuevo State Park. This was not just our relationship to California; this was everyone here. The implicit bargain was that California would protect and deliver to her residents the earth’s own splendor. In return, we’d spend a stupid amount of money on housing and tolerate a few hazards. We stowed an earthquake kit in the basement of our tiny house and, even prepandemic, cached boxes of N95 masks under the sink. Why live anywhere else? My human spouse hung photos of El Capitan in the entrance hall. We propped a bright red surfboard against the living-room wall.",The New York Times,,,2022-01-03T10:00:18+0000,article,Magazine,Magazine,News,nyt://article/78189fa8-9d74-587b-9fb6-232baf179322,6118,nyt://article/78189fa8-9d74-587b-9fb6-232baf179322,MM,34,NA,This Isn’t the California I Married,NA,NA,Forever Fire,NA,NA,NA,By Elizabeth Weil,,NA,157,10,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Two firefighters were injured fighting a blaze on Sunday, and more evacuations were ordered.",https://www.nytimes.com/2022/03/20/us/wildfires-texas-eastland-complex.html,"Two firefighters were injured fighting a blaze on Sunday, and more evacuations were ordered.","Fueled by unfavorable weather conditions, wildfires forced the evacuations of more areas in Central Texas on Sunday, fire officials said.",The New York Times,,,2022-03-20T22:39:13+0000,article,National,U.S.,News,nyt://article/7ba76678-8a1a-514c-86c5-69bdaecd878e,733,nyt://article/7ba76678-8a1a-514c-86c5-69bdaecd878e,A,13,NA,Weather Conditions Continue to Fuel Texas Fires,NA,NA,Texas Struggles to Control Wildfire With Combustible Conditions Expected to Persist,NA,NA,NA,By Giulia Heyward and David Montgomery,,NA,157,20,50
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,A selection of books published this week.,https://www.nytimes.com/2022/01/14/books/review/newly-published-che-guevara-sapiens.html,A selection of books published this week.,"GEORGE SPROTT: 1894-1975, by Seth. (Drawn & Quarterly, $24.95.) First serialized in The New York Times Magazine, this is the sweet, sad story of George Sprott, the aging host of a long-running television show, as rendered in Seth’s clean lines.",The New York Times,,,2022-01-14T18:53:31+0000,article,BookReview,Books,News,nyt://article/54eec51f-ec37-59eb-8569-a6d216c5ed55,332,nyt://article/54eec51f-ec37-59eb-8569-a6d216c5ed55,BR,4,Book Review,"Newly Published, From Che Guevara to Sapiens",NA,NA,Newly Published / Graphics,NA,NA,NA,NA,,NA,157,20,50
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The wildfire is one of at least six large ones burning in Northern California. High winds, low humidity and searing temperatures exacerbate the risk that fire will spread.",https://www.nytimes.com/2021/08/17/us/dixie-fire-updates-janesville-susanville.html,"The wildfire is one of at least six large ones burning in Northern California. High winds, low humidity and searing temperatures exacerbate the risk that fire will spread.","The Dixie fire, the second-largest in California’s recorded history, was wheeling on Tuesday toward one of the biggest urban targets in its path: the city of Susanville, population 15,000.",The New York Times,,,2021-08-17T11:55:00+0000,article,Express,U.S.,News,nyt://article/55a70ee1-267a-5f80-bfd9-69fc1e7527c1,645,nyt://article/55a70ee1-267a-5f80-bfd9-69fc1e7527c1,NA,NA,NA,The Dixie fire nears communities in the Sierra Nevada foothills.,NA,NA,Small City Is in Big Trouble as Dixie Fire Bears Down,NA,NA,NA,By Mike Ives and Eduardo Medina,,NA,157,20,50
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Ukraine’s capital is the biggest prize of all for the Russian military. If Russia tries to take control, it could lead to one of the biggest urban conflicts since World War II.",https://www.nytimes.com/2022/03/19/world/europe/kyiv-ukraine-russia-war.html,"Ukraine’s capital is the biggest prize of all for the Russian military. If Russia tries to take control, it could lead to one of the biggest urban conflicts since World War II.","KYIV, Ukraine — The city of Kyiv covers 325 square miles and is divided by a broad river. It has about 500,000 structures — factories, ornate churches and high-rise apartments — many on narrow, winding streets. Roughly two million people remain after extensive evacuations of women and children.",The New York Times,,,2022-03-19T09:00:22+0000,article,Foreign,World,News,nyt://article/b290bf11-6490-502f-8a3a-1af7a7e2444a,1657,nyt://article/b290bf11-6490-502f-8a3a-1af7a7e2444a,A,1,Europe,The Battle for Kyiv Looms as a Long and Bloody Conflict,NA,NA,"Fight for Kyiv Looms as a Long, Fierce Conflict",NA,NA,NA,NA,,NA,157,20,50
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"In Jewell Parker Rhodes’s “Paradise on Fire,” a young mapmaker in a wilderness program for Black city kids fights fire with fire.",https://www.nytimes.com/2021/10/01/books/review/jewell-parker-rhodes-paradise-on-fire.html,"In Jewell Parker Rhodes’s “Paradise on Fire,” a young mapmaker in a wilderness program for Black city kids fights fire with fire.",PARADISE ON FIREBy Jewell Parker RhodesIllustrated by Serena Malyon,The New York Times,,,2021-10-01T15:18:31+0000,article,BookReview,Books,Review,nyt://article/6afffb8d-d41d-5e41-94f8-5bf664f08586,603,nyt://article/6afffb8d-d41d-5e41-94f8-5bf664f08586,BR,22,Book Review,Trail Blazer,Children’s Books,NA,Trail Blazer,NA,NA,NA,By Jennifer Medina,,NA,157,20,50
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,New research on humanity's deep past holds lessons for the future.,https://www.nytimes.com/2021/11/04/opinion/graeber-wengrow-dawn-of-everything-history.html,New research on humanity's deep past holds lessons for the future.,"Most of human history is irreparably lost to us. Our species, Homo sapiens, has existed for at least 200,000 years, but we have next to no idea what was happening for the majority of that time. In northern Spain, for instance, at the cave of Altamira, paintings and engravings were created over a period of at least 10,000 years, between around 25,000 and 15,000 B.C. Presumably, a lot of dramatic events occurred during that period. We have no way of knowing what most of them were. This is of little consequence to most people, since most people rarely think about the broad sweep of human history anyway. They don’t have much reason to. Insofar as the question comes up at all, it’s usually when reflecting on why the world seems to be in such a mess and why human beings so often treat each other badly — the reasons for war, greed, exploitation and indifference to others’ suffering. Were we always like that, or did something, at some point, go terribly wrong?",The New York Times,,,2021-11-04T23:00:08+0000,article,OpEd,Opinion,Op-Ed,nyt://article/cc2748cf-4361-5e0a-922c-fb94e2555332,2420,nyt://article/cc2748cf-4361-5e0a-922c-fb94e2555332,SR,4,NA,Ancient History Shows How We Can Create a More Equal World,Guest Essay,NA,What Is the Cause  Of Social Inequality?,NA,NA,NA,By David Graeber and David Wengrow,,NA,157,20,50
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"From California to Minnesota to Massachusetts, turkeys have taken a liking to university life, leading to social media stardom and crosswalk confrontations.",https://www.nytimes.com/2021/11/25/us/turkey-college-campus.html,"From California to Minnesota to Massachusetts, turkeys have taken a liking to university life, leading to social media stardom and crosswalk confrontations.","MINNEAPOLIS — They are lounging next to bike racks and outside dorms. They are strutting across Harvard Yard. And, yes, they are occasionally fanning their feathers and charging at innocent students.",The New York Times,,,2021-11-25T08:00:08+0000,article,National,U.S.,News,nyt://article/d12bef97-e649-5d2c-8477-ae60819168dc,918,nyt://article/d12bef97-e649-5d2c-8477-ae60819168dc,A,14,NA,"As Turkeys Take Over Campus, Some Colleges Are More Thankful Than Others",NA,NA,"Across the Country, Off to College They Trot",NA,NA,NA,By Mitch Smith,,NA,157,20,50
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Excavations at Cahokia, famous for its pre-Columbian mounds, challenge the idea that residents destroyed the city through wood clearing.",https://www.nytimes.com/2021/04/24/science/cahokia-mounds-floods.html,"Excavations at Cahokia, famous for its pre-Columbian mounds, challenge the idea that residents destroyed the city through wood clearing.","A thousand years ago, a city rose on the banks of the Mississippi River, near what eventually became the city of St. Louis. Sprawling over miles of rich farms, public plazas and earthen mounds, the city — known today as Cahokia — was a thriving hub of immigrants, lavish feasting and religious ceremony. At its peak in the 1100s, Cahokia housed 20,000 people, greater than contemporaneous Paris.",The New York Times,,,2021-04-24T09:00:29+0000,article,Science,Science,News,nyt://article/e6eb1636-fc3d-52b1-890f-b3a43d4a3474,890,nyt://article/e6eb1636-fc3d-52b1-890f-b3a43d4a3474,D,3,NA,"What Doomed a Sprawling City Near St. Louis 1,000 Years Ago?",NA,NA,Ruling Out Ecocide for a Thriving City’s Downfall,NA,NA,NA,By Asher Elbein,,NA,157,20,50
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Backed by Prime Minister Narendra Modi, the new leadership of Auroville, an experimental commune, wants to create a model city. In the way stand trees, tree houses and a take-it-slow tradition.",https://www.nytimes.com/2022/03/05/world/asia/auroville-india.html,"Backed by Prime Minister Narendra Modi, the new leadership of Auroville, an experimental commune, wants to create a model city. In the way stand trees, tree houses and a take-it-slow tradition.","AUROVILLE, India — The bulldozer arrived one night in December, shaking Ganga Park awake in her tree house and sending her scurrying down the trunk.",The New York Times,,,2022-03-05T10:00:23+0000,article,Foreign,World,News,nyt://article/f521e09d-f665-5919-baec-93fde62b1b4a,1363,nyt://article/f521e09d-f665-5919-baec-93fde62b1b4a,A,4,Asia Pacific,Build a New City or New Humans? A Utopia in India Fights Over Future.,India Dispatch,NA,A Unity-Minded Utopia Is Divided Over Its Future,NA,NA,NA,By Emily Schmall,,NA,157,20,50
